baseline_algorithm,cache_size_label,cache_size_label_type,mean_delta_pp,run_count,overall_mean_delta_pp
arc,0.001,unique,0.437222,18,1.521333
arc,0.005,unique,0.720556,18,1.521333
arc,0.01,unique,2.16,18,1.521333
arc,0.05,unique,2.398333,18,1.521333
arc,0.1,unique,1.890556,18,1.521333
lecar,0.001,unique,1.945,18,2.621111
lecar,0.005,unique,2.207222,18,2.621111
lecar,0.01,unique,3.422222,18,2.621111
lecar,0.05,unique,4.061111,18,2.621111
lecar,0.1,unique,1.47,18,2.621111
lfu,0.001,unique,7.617222,18,8.029222
lfu,0.005,unique,7.550556,18,8.029222
lfu,0.01,unique,8.248333,18,8.029222
lfu,0.05,unique,9.071667,18,8.029222
lfu,0.1,unique,7.658333,18,8.029222
lirs,0.001,unique,0.438889,18,-0.016778
lirs,0.005,unique,0.407222,18,-0.016778
lirs,0.01,unique,0.092778,18,-0.016778
lirs,0.05,unique,0.681667,18,-0.016778
lirs,0.1,unique,-1.704444,18,-0.016778
lru,0.001,unique,4.564444,18,5.931556
lru,0.005,unique,3.659444,18,5.931556
lru,0.01,unique,5.360556,18,5.931556
lru,0.05,unique,8.363333,18,5.931556
lru,0.1,unique,7.71,18,5.931556
