trace_file,cache_size,cache_size_label,cache_size_label_type,baseline_algorithm,cacheus_hit_rate,baseline_hit_rate,hit_rate_delta_pp
work/cloudvps/converted/vps26020.blk,166,0.001,unique,arc,5.41,6.44,-1.03
work/cloudvps/converted/vps26020.blk,166,0.001,unique,lecar,5.41,6.72,-1.31
work/cloudvps/converted/vps26020.blk,166,0.001,unique,lfu,5.41,3.22,2.19
work/cloudvps/converted/vps26020.blk,166,0.001,unique,lirs,5.41,4.71,0.7
work/cloudvps/converted/vps26020.blk,166,0.001,unique,lru,5.41,6.03,-0.62
work/cloudvps/converted/vps26020.blk,830,0.005,unique,arc,7.8,8.02,-0.22
work/cloudvps/converted/vps26020.blk,830,0.005,unique,lecar,7.8,7.37,0.43
work/cloudvps/converted/vps26020.blk,830,0.005,unique,lfu,7.8,4.9,2.9
work/cloudvps/converted/vps26020.blk,830,0.005,unique,lirs,7.8,5.8,2.0
work/cloudvps/converted/vps26020.blk,830,0.005,unique,lru,7.8,7.32,0.48
work/cloudvps/converted/vps26020.blk,1660,0.01,unique,arc,8.82,8.83,-0.01
work/cloudvps/converted/vps26020.blk,1660,0.01,unique,lecar,8.82,7.48,1.34
work/cloudvps/converted/vps26020.blk,1660,0.01,unique,lfu,8.82,5.62,3.2
work/cloudvps/converted/vps26020.blk,1660,0.01,unique,lirs,8.82,8.44,0.38
work/cloudvps/converted/vps26020.blk,1660,0.01,unique,lru,8.82,7.41,1.41
work/cloudvps/converted/vps26020.blk,8302,0.05,unique,arc,24.6,24.3,0.3
work/cloudvps/converted/vps26020.blk,8302,0.05,unique,lecar,24.6,10.6,14.0
work/cloudvps/converted/vps26020.blk,8302,0.05,unique,lfu,24.6,19.53,5.07
work/cloudvps/converted/vps26020.blk,8302,0.05,unique,lirs,24.6,25.6,-1.0
work/cloudvps/converted/vps26020.blk,8302,0.05,unique,lru,24.6,7.66,16.94
work/cloudvps/converted/vps26020.blk,16605,0.1,unique,arc,47.13,34.38,12.75
work/cloudvps/converted/vps26020.blk,16605,0.1,unique,lecar,47.13,55.87,-8.74
work/cloudvps/converted/vps26020.blk,16605,0.1,unique,lfu,47.13,42.98,4.15
work/cloudvps/converted/vps26020.blk,16605,0.1,unique,lirs,47.13,61.98,-14.85
work/cloudvps/converted/vps26020.blk,16605,0.1,unique,lru,47.13,23.34,23.79
work/cloudvps/converted/vps26107.blk,2478,0.001,unique,arc,12.4,12.6,-0.2
work/cloudvps/converted/vps26107.blk,2478,0.001,unique,lecar,12.4,8.23,4.17
work/cloudvps/converted/vps26107.blk,2478,0.001,unique,lfu,12.4,3.43,8.97
work/cloudvps/converted/vps26107.blk,2478,0.001,unique,lirs,12.4,12.33,0.07
work/cloudvps/converted/vps26107.blk,2478,0.001,unique,lru,12.4,7.27,5.13
work/cloudvps/converted/vps26107.blk,12390,0.005,unique,arc,20.53,20.12,0.41
work/cloudvps/converted/vps26107.blk,12390,0.005,unique,lecar,20.53,15.72,4.81
work/cloudvps/converted/vps26107.blk,12390,0.005,unique,lfu,20.53,5.92,14.61
work/cloudvps/converted/vps26107.blk,12390,0.005,unique,lirs,20.53,20.05,0.48
work/cloudvps/converted/vps26107.blk,12390,0.005,unique,lru,20.53,14.04,6.49
work/cloudvps/converted/vps26107.blk,24781,0.01,unique,arc,25.8,24.16,1.64
work/cloudvps/converted/vps26107.blk,24781,0.01,unique,lecar,25.8,19.55,6.25
work/cloudvps/converted/vps26107.blk,24781,0.01,unique,lfu,25.8,7.21,18.59
work/cloudvps/converted/vps26107.blk,24781,0.01,unique,lirs,25.8,24.16,1.64
work/cloudvps/converted/vps26107.blk,24781,0.01,unique,lru,25.8,17.7,8.1
work/cloudvps/converted/vps26107.blk,123908,0.05,unique,arc,40.47,39.91,0.56
work/cloudvps/converted/vps26107.blk,123908,0.05,unique,lecar,40.47,38.36,2.11
work/cloudvps/converted/vps26107.blk,123908,0.05,unique,lfu,40.47,20.55,19.92
work/cloudvps/converted/vps26107.blk,123908,0.05,unique,lirs,40.47,41.41,-0.94
work/cloudvps/converted/vps26107.blk,123908,0.05,unique,lru,40.47,35.31,5.16
work/cloudvps/converted/vps26107.blk,247816,0.1,unique,arc,47.78,47.42,0.36
work/cloudvps/converted/vps26107.blk,247816,0.1,unique,lecar,47.78,46.67,1.11
work/cloudvps/converted/vps26107.blk,247816,0.1,unique,lfu,47.78,33.39,14.39
work/cloudvps/converted/vps26107.blk,247816,0.1,unique,lirs,47.78,48.88,-1.1
work/cloudvps/converted/vps26107.blk,247816,0.1,unique,lru,47.78,44.69,3.09
work/cloudvps/converted/vps26134.blk,479,0.001,unique,arc,9.95,10.2,-0.25
work/cloudvps/converted/vps26134.blk,479,0.001,unique,lecar,9.95,9.96,-0.01
work/cloudvps/converted/vps26134.blk,479,0.001,unique,lfu,9.95,5.83,4.12
work/cloudvps/converted/vps26134.blk,479,0.001,unique,lirs,9.95,10.29,-0.34
work/cloudvps/converted/vps26134.blk,479,0.001,unique,lru,9.95,7.18,2.77
work/cloudvps/converted/vps26134.blk,2395,0.005,unique,arc,15.4,14.03,1.37
work/cloudvps/converted/vps26134.blk,2395,0.005,unique,lecar,15.4,12.31,3.09
work/cloudvps/converted/vps26134.blk,2395,0.005,unique,lfu,15.4,10.89,4.51
work/cloudvps/converted/vps26134.blk,2395,0.005,unique,lirs,15.4,15.4,0.0
work/cloudvps/converted/vps26134.blk,2395,0.005,unique,lru,15.4,10.95,4.45
work/cloudvps/converted/vps26134.blk,4791,0.01,unique,arc,20.62,14.58,6.04
work/cloudvps/converted/vps26134.blk,4791,0.01,unique,lecar,20.62,13.63,6.99
work/cloudvps/converted/vps26134.blk,4791,0.01,unique,lfu,20.62,16.78,3.84
work/cloudvps/converted/vps26134.blk,4791,0.01,unique,lirs,20.62,21.1,-0.48
work/cloudvps/converted/vps26134.blk,4791,0.01,unique,lru,20.62,11.78,8.84
work/cloudvps/converted/vps26134.blk,23955,0.05,unique,arc,59.44,57.23,2.21
work/cloudvps/converted/vps26134.blk,23955,0.05,unique,lecar,59.44,54.45,4.99
work/cloudvps/converted/vps26134.blk,23955,0.05,unique,lfu,59.44,52.77,6.67
work/cloudvps/converted/vps26134.blk,23955,0.05,unique,lirs,59.44,59.77,-0.33
work/cloudvps/converted/vps26134.blk,23955,0.05,unique,lru,59.44,25.26,34.18
work/cloudvps/converted/vps26134.blk,47910,0.1,unique,arc,61.84,62.02,-0.18
work/cloudvps/converted/vps26134.blk,47910,0.1,unique,lecar,61.84,60.64,1.2
work/cloudvps/converted/vps26134.blk,47910,0.1,unique,lfu,61.84,58.31,3.53
work/cloudvps/converted/vps26134.blk,47910,0.1,unique,lirs,61.84,62.21,-0.37
work/cloudvps/converted/vps26134.blk,47910,0.1,unique,lru,61.84,56.3,5.54
work/cloudvps/converted/vps26136.blk,741,0.001,unique,arc,5.95,6.03,-0.08
work/cloudvps/converted/vps26136.blk,741,0.001,unique,lecar,5.95,4.94,1.01
work/cloudvps/converted/vps26136.blk,741,0.001,unique,lfu,5.95,2.41,3.54
work/cloudvps/converted/vps26136.blk,741,0.001,unique,lirs,5.95,6.3,-0.35
work/cloudvps/converted/vps26136.blk,741,0.001,unique,lru,5.95,3.14,2.81
work/cloudvps/converted/vps26136.blk,3706,0.005,unique,arc,9.44,9.26,0.18
work/cloudvps/converted/vps26136.blk,3706,0.005,unique,lecar,9.44,7.47,1.97
work/cloudvps/converted/vps26136.blk,3706,0.005,unique,lfu,9.44,4.43,5.01
work/cloudvps/converted/vps26136.blk,3706,0.005,unique,lirs,9.44,9.17,0.27
work/cloudvps/converted/vps26136.blk,3706,0.005,unique,lru,9.44,6.87,2.57
work/cloudvps/converted/vps26136.blk,7412,0.01,unique,arc,11.35,11.01,0.34
work/cloudvps/converted/vps26136.blk,7412,0.01,unique,lecar,11.35,8.6,2.75
work/cloudvps/converted/vps26136.blk,7412,0.01,unique,lfu,11.35,6.14,5.21
work/cloudvps/converted/vps26136.blk,7412,0.01,unique,lirs,11.35,10.94,0.41
work/cloudvps/converted/vps26136.blk,7412,0.01,unique,lru,11.35,7.77,3.58
work/cloudvps/converted/vps26136.blk,37062,0.05,unique,arc,23.84,24.55,-0.71
work/cloudvps/converted/vps26136.blk,37062,0.05,unique,lecar,23.84,19.03,4.81
work/cloudvps/converted/vps26136.blk,37062,0.05,unique,lfu,23.84,17.19,6.65
work/cloudvps/converted/vps26136.blk,37062,0.05,unique,lirs,23.84,24.95,-1.11
work/cloudvps/converted/vps26136.blk,37062,0.05,unique,lru,23.84,12.79,11.05
work/cloudvps/converted/vps26136.blk,74125,0.1,unique,arc,38.44,33.81,4.63
work/cloudvps/converted/vps26136.blk,74125,0.1,unique,lecar,38.44,32.75,5.69
work/cloudvps/converted/vps26136.blk,74125,0.1,unique,lfu,38.44,27.04,11.4
work/cloudvps/converted/vps26136.blk,74125,0.1,unique,lirs,38.44,39.13,-0.69
work/cloudvps/converted/vps26136.blk,74125,0.1,unique,lru,38.44,21.88,16.56
work/cloudvps/converted/vps26148.blk,912,0.001,unique,arc,4.56,4.84,-0.28
work/cloudvps/converted/vps26148.blk,912,0.001,unique,lecar,4.56,4.48,0.08
work/cloudvps/converted/vps26148.blk,912,0.001,unique,lfu,4.56,1.1,3.46
work/cloudvps/converted/vps26148.blk,912,0.001,unique,lirs,4.56,1.65,2.91
work/cloudvps/converted/vps26148.blk,912,0.001,unique,lru,4.56,4.55,0.01
work/cloudvps/converted/vps26148.blk,4563,0.005,unique,arc,7.69,8.08,-0.39
work/cloudvps/converted/vps26148.blk,4563,0.005,unique,lecar,7.69,7.61,0.08
work/cloudvps/converted/vps26148.blk,4563,0.005,unique,lfu,7.69,2.74,4.95
work/cloudvps/converted/vps26148.blk,4563,0.005,unique,lirs,7.69,3.86,3.83
work/cloudvps/converted/vps26148.blk,4563,0.005,unique,lru,7.69,7.16,0.53
work/cloudvps/converted/vps26148.blk,9127,0.01,unique,arc,9.37,9.89,-0.52
work/cloudvps/converted/vps26148.blk,9127,0.01,unique,lecar,9.37,9.03,0.34
work/cloudvps/converted/vps26148.blk,9127,0.01,unique,lfu,9.37,4.56,4.81
work/cloudvps/converted/vps26148.blk,9127,0.01,unique,lirs,9.37,5.73,3.64
work/cloudvps/converted/vps26148.blk,9127,0.01,unique,lru,9.37,8.7,0.67
work/cloudvps/converted/vps26148.blk,45638,0.05,unique,arc,26.64,15.81,10.83
work/cloudvps/converted/vps26148.blk,45638,0.05,unique,lecar,26.64,15.26,11.38
work/cloudvps/converted/vps26148.blk,45638,0.05,unique,lfu,26.64,17.07,9.57
work/cloudvps/converted/vps26148.blk,45638,0.05,unique,lirs,26.64,19.58,7.06
work/cloudvps/converted/vps26148.blk,45638,0.05,unique,lru,26.64,14.63,12.01
work/cloudvps/converted/vps26148.blk,91277,0.1,unique,arc,41.02,38.95,2.07
work/cloudvps/converted/vps26148.blk,91277,0.1,unique,lecar,41.02,37.3,3.72
work/cloudvps/converted/vps26148.blk,91277,0.1,unique,lfu,41.02,30.33,10.69
work/cloudvps/converted/vps26148.blk,91277,0.1,unique,lirs,41.02,40.0,1.02
work/cloudvps/converted/vps26148.blk,91277,0.1,unique,lru,41.02,26.08,14.94
work/cloudvps/converted/vps26215.blk,3176,0.001,unique,arc,21.35,21.56,-0.21
work/cloudvps/converted/vps26215.blk,3176,0.001,unique,lecar,21.35,20.03,1.32
work/cloudvps/converted/vps26215.blk,3176,0.001,unique,lfu,21.35,11.62,9.73
work/cloudvps/converted/vps26215.blk,3176,0.001,unique,lirs,21.35,21.95,-0.6
work/cloudvps/converted/vps26215.blk,3176,0.001,unique,lru,21.35,18.02,3.33
work/cloudvps/converted/vps26215.blk,15884,0.005,unique,arc,29.51,27.03,2.48
work/cloudvps/converted/vps26215.blk,15884,0.005,unique,lecar,29.51,25.3,4.21
work/cloudvps/converted/vps26215.blk,15884,0.005,unique,lfu,29.51,21.64,7.87
work/cloudvps/converted/vps26215.blk,15884,0.005,unique,lirs,29.51,27.77,1.74
work/cloudvps/converted/vps26215.blk,15884,0.005,unique,lru,29.51,24.34,5.17
work/cloudvps/converted/vps26215.blk,31769,0.01,unique,arc,38.26,28.57,9.69
work/cloudvps/converted/vps26215.blk,31769,0.01,unique,lecar,38.26,26.96,11.3
work/cloudvps/converted/vps26215.blk,31769,0.01,unique,lfu,38.26,28.13,10.13
work/cloudvps/converted/vps26215.blk,31769,0.01,unique,lirs,38.26,39.33,-1.07
work/cloudvps/converted/vps26215.blk,31769,0.01,unique,lru,38.26,25.72,12.54
work/cloudvps/converted/vps26215.blk,158848,0.05,unique,arc,51.22,51.72,-0.5
work/cloudvps/converted/vps26215.blk,158848,0.05,unique,lecar,51.22,47.76,3.46
work/cloudvps/converted/vps26215.blk,158848,0.05,unique,lfu,51.22,45.3,5.92
work/cloudvps/converted/vps26215.blk,158848,0.05,unique,lirs,51.22,51.38,-0.16
work/cloudvps/converted/vps26215.blk,158848,0.05,unique,lru,51.22,47.57,3.65
work/cloudvps/converted/vps26215.blk,317696,0.1,unique,arc,52.33,52.5,-0.17
work/cloudvps/converted/vps26215.blk,317696,0.1,unique,lecar,52.33,50.8,1.53
work/cloudvps/converted/vps26215.blk,317696,0.1,unique,lfu,52.33,46.61,5.72
work/cloudvps/converted/vps26215.blk,317696,0.1,unique,lirs,52.33,52.41,-0.08
work/cloudvps/converted/vps26215.blk,317696,0.1,unique,lru,52.33,49.91,2.42
work/cloudvps/converted/vps26254.blk,764,0.001,unique,arc,2.74,2.64,0.1
work/cloudvps/converted/vps26254.blk,764,0.001,unique,lecar,2.74,2.46,0.28
work/cloudvps/converted/vps26254.blk,764,0.001,unique,lfu,2.74,2.26,0.48
work/cloudvps/converted/vps26254.blk,764,0.001,unique,lirs,2.74,2.75,-0.01
work/cloudvps/converted/vps26254.blk,764,0.001,unique,lru,2.74,2.47,0.27
work/cloudvps/converted/vps26254.blk,3824,0.005,unique,arc,4.9,3.0,1.9
work/cloudvps/converted/vps26254.blk,3824,0.005,unique,lecar,4.9,2.89,2.01
work/cloudvps/converted/vps26254.blk,3824,0.005,unique,lfu,4.9,4.24,0.66
work/cloudvps/converted/vps26254.blk,3824,0.005,unique,lirs,4.9,4.81,0.09
work/cloudvps/converted/vps26254.blk,3824,0.005,unique,lru,4.9,2.56,2.34
work/cloudvps/converted/vps26254.blk,7649,0.01,unique,arc,10.27,4.07,6.2
work/cloudvps/converted/vps26254.blk,7649,0.01,unique,lecar,10.27,6.1,4.17
work/cloudvps/converted/vps26254.blk,7649,0.01,unique,lfu,10.27,8.87,1.4
work/cloudvps/converted/vps26254.blk,7649,0.01,unique,lirs,10.27,9.93,0.34
work/cloudvps/converted/vps26254.blk,7649,0.01,unique,lru,10.27,3.35,6.92
work/cloudvps/converted/vps26254.blk,38245,0.05,unique,arc,27.61,25.91,1.7
work/cloudvps/converted/vps26254.blk,38245,0.05,unique,lecar,27.61,24.04,3.57
work/cloudvps/converted/vps26254.blk,38245,0.05,unique,lfu,27.61,25.96,1.65
work/cloudvps/converted/vps26254.blk,38245,0.05,unique,lirs,27.61,25.78,1.83
work/cloudvps/converted/vps26254.blk,38245,0.05,unique,lru,27.61,23.66,3.95
work/cloudvps/converted/vps26254.blk,76490,0.1,unique,arc,31.04,33.32,-2.28
work/cloudvps/converted/vps26254.blk,76490,0.1,unique,lecar,31.04,32.83,-1.79
work/cloudvps/converted/vps26254.blk,76490,0.1,unique,lfu,31.04,32.22,-1.18
work/cloudvps/converted/vps26254.blk,76490,0.1,unique,lirs,31.04,31.5,-0.46
work/cloudvps/converted/vps26254.blk,76490,0.1,unique,lru,31.04,31.99,-0.95
work/cloudvps/converted/vps26255.blk,1633,0.001,unique,arc,41.56,40.36,1.2
work/cloudvps/converted/vps26255.blk,1633,0.001,unique,lecar,41.56,40.2,1.36
work/cloudvps/converted/vps26255.blk,1633,0.001,unique,lfu,41.56,21.48,20.08
work/cloudvps/converted/vps26255.blk,1633,0.001,unique,lirs,41.56,40.45,1.11
work/cloudvps/converted/vps26255.blk,1633,0.001,unique,lru,41.56,36.61,4.95
work/cloudvps/converted/vps26255.blk,8168,0.005,unique,arc,46.99,43.45,3.54
work/cloudvps/converted/vps26255.blk,8168,0.005,unique,lecar,46.99,41.18,5.81
work/cloudvps/converted/vps26255.blk,8168,0.005,unique,lfu,46.99,29.54,17.45
work/cloudvps/converted/vps26255.blk,8168,0.005,unique,lirs,46.99,47.7,-0.71
work/cloudvps/converted/vps26255.blk,8168,0.005,unique,lru,46.99,40.93,6.06
work/cloudvps/converted/vps26255.blk,16336,0.01,unique,arc,53.6,46.14,7.46
work/cloudvps/converted/vps26255.blk,16336,0.01,unique,lecar,53.6,46.43,7.17
work/cloudvps/converted/vps26255.blk,16336,0.01,unique,lfu,53.6,36.91,16.69
work/cloudvps/converted/vps26255.blk,16336,0.01,unique,lirs,53.6,56.03,-2.43
work/cloudvps/converted/vps26255.blk,16336,0.01,unique,lru,53.6,41.63,11.97
work/cloudvps/converted/vps26255.blk,81681,0.05,unique,arc,68.14,68.81,-0.67
work/cloudvps/converted/vps26255.blk,81681,0.05,unique,lecar,68.14,68.32,-0.18
work/cloudvps/converted/vps26255.blk,81681,0.05,unique,lfu,68.14,49.55,18.59
work/cloudvps/converted/vps26255.blk,81681,0.05,unique,lirs,68.14,68.02,0.12
work/cloudvps/converted/vps26255.blk,81681,0.05,unique,lru,68.14,67.34,0.8
work/cloudvps/converted/vps26255.blk,163363,0.1,unique,arc,69.97,71.14,-1.17
work/cloudvps/converted/vps26255.blk,163363,0.1,unique,lecar,69.97,70.17,-0.2
work/cloudvps/converted/vps26255.blk,163363,0.1,unique,lfu,69.97,56.05,13.92
