algorithm,cache_size_label,cache_size_label_type,mean_hit_rate,run_count
arc,0.001,unique,13.202222,18
arc,0.005,unique,19.276111,18
arc,0.01,unique,22.027222,18
arc,0.05,unique,34.93,18
arc,0.1,unique,43.258333,18
cacheus,0.001,unique,13.639444,18
cacheus,0.005,unique,19.996667,18
cacheus,0.01,unique,24.187222,18
cacheus,0.05,unique,37.328333,18
cacheus,0.1,unique,45.148889,18
lecar,0.001,unique,11.694444,18
lecar,0.005,unique,17.789444,18
lecar,0.01,unique,20.765,18
lecar,0.05,unique,33.267222,18
lecar,0.1,unique,43.678889,18
lfu,0.001,unique,6.022222,18
lfu,0.005,unique,12.446111,18
lfu,0.01,unique,15.938889,18
lfu,0.05,unique,28.256667,18
lfu,0.1,unique,37.490556,18
lirs,0.001,unique,13.200556,18
lirs,0.005,unique,19.589444,18
lirs,0.01,unique,24.094444,18
lirs,0.05,unique,36.646667,18
lirs,0.1,unique,46.853333,18
lru,0.001,unique,9.075,18
lru,0.005,unique,16.337222,18
lru,0.01,unique,18.826667,18
lru,0.05,unique,28.965,18
lru,0.1,unique,37.438889,18
